clean_tweet,value
modii diidii pttel bo bhgt sinh raaj guru sukhdev nehruu bddaa mhaan,0
maadrcod,1
aasthaa mhaaprv chtthii bccon nirjlaa vrt bccaa plaayn maar jhel bett nikkmii srkaar,0
vrss bhaart srkaar dvaaraa akttuubr prtivrss raassttriiy ektaa div mnaan nirnni akttuubr vh bhaart maataa lauh puru srdaar pttel hiiraa,0
kejriiva srkaar phrii ttiktt ddhinddhoraa piitt sc jaani juddi laaiv,0
rupe jlaayaa kiimt mushkil ru baatii tel adhiktm ru prjvlit krmcaarii ru prti kiimt ruu yuupii srkaar lgbhg ru,0
biijepii shivsenaa gaandd laat maarn,1
uttr prdesh vishvaa jiitaa vikaa vishvaa ntiijaa griibii gyii uttr prdesh vikaa vishvaasghaat srkaar kmiyaan,0
gaanddmen ddnddaa kmjor,1
ttottii cor,0
puurvaancl bihaar mithilaa maithilii bhojpurii snsthaaon anurodh mukhymntrii arvind kejriiva ghossnnaaon sccaaii suucnaa adhikaar upyog jaankaarii praapt puurii smiikssaa vishvaa,0
rnddii porn sttaar aulaad prkaash raaj,1
modii raajaurii jvaanon divaalii,0
shaatir bhncod raag alaapn dhyaan httaan cuutiy,1
jnsnkhyaa bddhaao desh kbjaao bccaa ddonkttr injiiniyr aaiipii aaiiee useaarthik rup smpnn prntuabdul aatth bcce caahiy sttaa caabii votto hotii muurkhaurr abdul hoshiyaar srkaar,0
ciij ttuuttii librl gaanddhai biibii durbhaagi juddegii,1
desh kejriiva nphrt pyaar cunnaa nphrt cunaa hi bddhiy jnsnkhyaa niyntrnn nphrt phailaat,0
raat bje maadrcod,1
raajniitik chkkon rudaaliyon prm aavshyktaa rnddii ro ske mhaaraassttrhriyaannaa cunaav,1
saavrkr aangrejon mrvaa paakistaanii biryaanii bhosddiivaalaa bkaitii pel,1
trk bhncod khitaab akbr muslmaanon,1
bcpn maadrcod mhaamaadrcod,1
raajsthaan srkaar uddeshi vikaa raajsthaan srkaar yojnaaon prtibddh aadrnniiy jnnaayk uddeshi yojnaaon laabh ghrghr ddhaannii ddhaannii phunc yojnaaon achuutaa,0
jhopddii khraamii bhddvaa porn paidaayi doglaa dhrm cott khuun hraamjaad gaandd maaregen bhddve,1
bhaaii gddaar srjiikl isttraaik cuutiyaa,1
vivaadit maadrcod hthiyaar bcaa khriiduungaa lndd,1
bhosddii kaaluu kongresii angrejo phryaad jhaattuumenttlaadmii,1
shj srl mrdubhaassii skriy jnnetaa mpr srkaar puurv mntrii vrisstt vidhaayk bdde bhaiyaa jnmdin ash bdhaaiiyaan muskura svsth vyst iishvr sudiirgh mnglmi jiivn kaanmnaa raam,0
modii aatnkvaad smaapt smaapt aatnkvaad smaapt jaahil aatnkvaad nett smaapt,0
bhddve shaantiduut pittaaii rnddii nrshn,1
modii prdhaanmntrii amit shaah bhaart shhnshaah amit shaah,0
kejriiva rgddrgddke maaregaa kiirti aajaad drbhngiyaa sntoss guptaa drbhngiyaa,0
anucch astisv kendr shaasit prdesh jmmuu kshmiir lddaakh vikaa maarg prshst anusuucit aadivaasii smudaay anyaay ant bhaajpaa srkaar pryaason desh ektaa akhnddtaa suuri ug,0
kttue bhosddii hraamkhor kttuaa,1
mjaaron duaaen kbuul ksm shriiraam modii yogii,0
bhosddii gaalii avisskaar gaalii gaalii buraa maannaa,1
maadrcod,1
raajsthaan jodhpur naabaalig bccii blaatkaar drind sliim hd bhncod suvro blaatkaarii muslimo phaansii,1
httaaodeshbcaao rnddii vipkss,1
rnddii,1
bhvissi maadrcod,1
biijepii phnndd modii nehruu baavjuud,0
pttel modii pglii daadii naak daadii naak,0
yogii modii shaah bhaaii gnjeddii jnsnkhyaa niyntrnn,0
srdaar pttel modii khnaa,0
asptaal minimm mjduurii kejriiva cunaavii sttntt rinkiyaa paapaa,0
maadrcod biskutt ttaaphii laalc pngosii abbaa svaarthsiddhi ckkr jysiyaaraam,1
uttr puurvii dishaaon kejriiva caaro dishaaon ttaargett bhaart dhuvaa prdussnn nauttnkii gndgii kaarnn gai cainbr,0
maadr cod sih likh tnik bhncod dlit,1
muurkh bhaaii raa modii kpddaa paisaa,0
srkaar bson maarshl tainaatii sotii mhilaa surkssaakrmiyon dvaaraa surkssaa maarshl annuu,0
modii saamaajik nyaay purodhaa laalu yaadv phnsaakr,0
nijii knpniyon naak rgddtii bhaart srkaar srkaar krjlekr bhaart khriidtii nijii knpniiyaan bhaart vrtmaan khtrnaak vhaattsep kaandd saaph bhaandd desh desh surkssit,0
cuutiyaa,1
prle drje cuutiyaa tuun dlaal miiddiyaa jhuutthii khbren dhraatl jutiyaatii socaa kaayd pitt amriikaa,1
kill shk gaandd maarii bhosddii,1
sushiil modii bihaar nitiish kumaar pichlguu bihaar biijepii srkaar nitiish kumaar bihaar bihaar aakraamk giriraaj sinh,0
mhbuubaa srkaar kshmiir ptthrbaajon prjaati vilupt adhyyn yuropiiy saasnd kshmiir,0
allaah gnndd lndd bhosddii mullaa lndd iid,1
modii srkaar eyrportt paayltton prshikssit rojgaar shhron gaanvon joddn hvaaii raast bhaajpaa srkaar desh hvaaii suvidhaa,0
rviish kumaar vaampnthii diimk phrjii udaarvaadii sekulr kaarykrtaaon htyaaon pkss udaar vaadiyon srkaar cuni caaht udaar vaadiyon,0
hiiro jnyaan aaiindaa gaandd snbhaal,1
hhhhh rnddii royegaa,1
rhnevaal puurvaancl vaashiyon gaalii denevaalaa beshrm muurkhmntrii kejriiva iid muslmaanon maalaama chtth puurvaancl vaashiyon ghaayl,0
lvddiyaa bkcodii bitthaa uddaa bhncod,1
prdhaanmntrii nrendr modii bhaassnn hiraast aadivaasii,0
dhrm baabaao pesh bhne bhosddii dhrm itihaa saal shnkr crsii blaatkaarii krssnnaa maantaa dhrm grnth pddle,1
bhaiyaa mettro kiraayaa kejriiva sbsiddii,0
ksm cuutiyaa bhosdivaal,1
srkaar,0
gddaaron rottii bhaart rnddi paakistaan bnd huaaab desh,1
modii kejriiva snghputr raajniiti lphphaajii siimit,0
kejriiva kjrii nipttaayegaa,0
guru baink maadrcod,1
modii kroddjndhn khaat khol mudraa lon sbsiddii khaaton yojnaaon bainkr sailrii cuppii,0
bdlaa indiraa dngaa aajaad bhaart bhyaank dngaa jismen hjaaron beksuur siikh maar maarn kaangresii srkaar dngaa krmiyon surkssaa saadhn prdaan siikho srkaar dngaa krmiyon die,0
pttaakh jlaao pddosii raajyon jl praalii khilaaph tthiikraa kejriiva srkaar phodddo paisa,0
snghii suar gaandd phtt modii pentt peshaab,1
kejriiva srkaar khuubsuurtii jnaab,0
bhosddii gaaddmen ghu,1
khudvaa cutiyaa kaattt,1
bhaart hkiikt srkaar niitiyon svaal njr bnd,0
r rnddiibnnaa dussynt cauttaalaa jaadaan amit shaah tlve caattnn saal,1
kejriiva gndii raajniiti yuupii bihaar chtth rok nauttnkii vaaj,0
ktii cuutiyaa pttaakh paisa vaataavrnn khraab,1
mnoj bhiiyaa tmaashaa cutiyaa,1
svaagtyogykdm modii srkaar deshvaasiyo mndirmsjidgurudvaarocrco,0
laakh cl cukii orijnl saal hijddo graahk ddhuunddhtaa cutiyaa khaan phtte nirodh paidaaiish,1
shukr vaashbaisin pair gaandd,1
molvii gaandd mrvaak pedaa saal pedaaish,1
antrraassttriiy dlaal modii srkaar bhaart videsh kuuttniiti tmaashaa,0
dhrtii bojh bdduaa mriyo uksaayaa andh gobr paitth cuutiyaa pttaakh choddkr jaiso lnkaa dlaalii kmpttiishn bhaaddmen,1
bhosddii shkl suvr,1
bhncod hvn pnddit svaahaa,1
modii srkaar desh hvaaii sevaaen,0
phtt arvind kejriiva,0
ttonttii saalon khaalaaon sphaaii tthumk lgvaae,0
biijepii cunaav srjikl sttraaikbonrddr goliibaariiaatnkvaadii hmlaahinduumuslimmndirmsjid modii shaah jaan khtraa krtii kejriiva tmaam naakaam koshishon kejriiva paae,0
gaanddmraa bhoshriik,1
yshsvii prdhaanmntrii nrendr modii jmmuu kshmiir anucch httaan kotti kotti aabhaar,0
paidaaish maa laalu soii bgdaadii ttpkaa jaayegen cuddii todd rnddii bhtaar maaraa,1
wanna fuck bitch,1
fuck bitch start cri,1
fuck bro,0
idiot,0
bad bitch thing,0
bitch,1
fuck bitch even suck dick,1
girl badmak naughtybad yello hoereal bodydown south chick,1
love,0
hate,0
damnyou funni bitch,0
stupid realli belol look straight face,0
woof woof hot sol,0
wanna money fuck model bitch,1
queergaywad,0
met pussi ocean dr gave pussi pill,1
trippi bitch fuck hennessi,1
god dickhead,1
wanna suck dick press boob,1
eat boob lick pussi,1
txt old bitch bitch pussi wetter,1
wear pushup bra boob support,0
meow meow pussi cat pussi cat come,0
momma said pussi cat insid doghous,0
eggplant emoji doe look scream lmao,0
press cloth damn irrit,0
prefer sex love,1
dat bitch scream doin sex,1
seh pussi wetter shower curtain,1
babi monkey bathtim,0
gay religion shouldnt mess,0
seem fuckin beauti gay,1
r beauti love,0
your fuck gayblacklist hoe,1
basebal season winyankeesthi love start,0
im earli bird im night owlso im wise worm,0
overdos heavi drug doesnt sound bad tonighti pussi shit everi day,0
pit bull photograph love fairi tale creatur,0
long laker trash oni could carelessand that real,0
didnt anyth tho kiss faggot,1
could fat as bitch lap,1
isnt ghettoit smart im idc,0
want nose bad boi,0
peel peel bring back rewind back im move shaq,0
dirti foot as bitch,1
