text,value
 मोदी क्या आये दीदी पटेल बोस भगत सिंह राज गुरु सुखदेव सब याद आ गए। पहले तो नेहरू से बड़ा महान कोई नही था।    ,0
है कौन ये मादरचोद,1
आस्था के महापर्व छठी मे जो माँ अपने बच्चों के लिये निर्जला व्रत रखती है वही बच्चा पलायन की मार झेल रहा हो । उस माँ बेटे का ये निक्कमी सरकार नही समझ सकती है ।,0
वर्ष   में भारत सरकार द्वारा   अक्टूबर को प्रतिवर्ष राष्ट्रीय एकता दिवस के रूप में मनाने का निर्णय लिया गया ।   अक्टूबर ही वह दिन है जिस दिन भारत माता को लौह पुरुष सरदार पटेल जैसा हीरा मिला था ।,0
केजरीवाल सरकार जो फ्री टिकट देने का ढिंढोरा पीट रही है उसका सच जानिए जुड़िए लाइव।               ,0
कभी आपने अपने घर पर   रुपए में एक दीया जलाया है एक दीये की कीमत मुश्किल से  रु और बाती तेल मिला कर अधिकतम  रु होगी। मान लो दीया प्रज्वलित करने आपने एक कर्मचारी  रु प्रति दीया भी लगाया तो कीमत  रू ही होतीं हैं। यूपी सरकार ने एक दीया लगभग  रु में लिया।,0
बीजेपी को शिवसेना की गांड पर लात मारने चाहिए,1
साल आपने भी इसी उत्तर प्रदेश की जनता का विश्वास जीता था विकास के नाम पर और विश्वास का नतीजा ये है की न गरीबी गयी न उत्तर प्रदेश का विकास हुआ हुआ तो सिर्फ विश्वासघात। और आप आज खुद ही अपने सरकार की कमियां गिना रहे है।     ,0
क्यों की गांड़ में डंडा डालने वाले कमजोर है,1
बोलो टोटी चोर क्या मिला,0
दिल्ली के पूर्वांचल बिहार मिथिला मैथिली भोजपुरी संस्थाओं से अनुरोध है कि वे दिल्ली के मुख्यमंत्री श्री अरविंद केजरीवाल की घोषणाओं की सच्चाई जानने के लिए सूचना का अधिकार का उपयोग कर जानकारी प्राप्त कर पूरी समीक्षा करें फिर विश्वास करें।,0
रंडी पोर्न स्टार की औलाद प्रकाश राज,1
मोदी ने राजौरी में जवानों के साथ मनाई दिवाली    ,0
ये  बहुत ही शातिर है बहनचोद देखा कि   साल में कुछ किया तो हु नही तो लगा  का राग अलापने ध्यान हटाने के लिए और  भी वैसे ही चूतिये है समझ नहीं पा रहे,1
जनसंख्या बढ़ाओ देश कब्जाओ एक बच्चा पैदा कर उसे डॉक्टर इंजीनियर आईपीएस आईएएस उसेआर्थिक रुप से सम्पन्न बना सकते हैं परन्तुअब्दुल को तो आठ बच्चे चाहिये क्यो की सत्ता की चाबी तो वोटो में होती हैं आप कितने मूर्खऔऱ अब्दुल कितना होशियार हैं। सरकार जागो,0
जो चीज टूटी है वो लिबरल की गांड़ है बीबी दुर्भाग्य ये है कि जुड़ेगी भी नहीं अगले   साल    ,1
आपने देश और केजरीवाल मे से एक को नहीं आपको नफरत और प्यार मे से एक को चुनना था आपणे नफरत को चुना ऐसे हि आगे बढिये और जनसंख्या नियंत्रण के नाम पर लोगों मे नफरत फैलाते रहिये,0
तकरीबन एक साल बाद रात के   बजे उसका फ़ोन आया फिर क्या मेने फ़ोन उठाया और बोला रख मादरचोद सोने दे और काट दिया ।।,1
राजनीतिक छक्कों और रुदालियों की परम आवश्यकता है जो  पर रंडी रोना रो सके महाराष्ट्रहरियाणा चुनाव,1
इनके सावरकर आंग्रेजों के सामने झुक कर मरवा लिए इनके बाप पाकिस्तानी बिरयानी खा के चले गए और इ भोसडी़ वाला बकैती पेल रहा है,1
इस तर्क के हिसाब से बहनचोद का खिताब अकबर ओर मुसलमानों को जाता है,1
बचपन में भी मादरचोद थे अब महामादरचोद हो गये हो     ,1
राजस्थान सरकार का एक ही उद्देश्य का साथ सबका विकास राजस्थान सरकार योजनाओं के लिए प्रतिबद्ध है आदरणीय जननायक एक ही उद्देश्य है ताकि योजनाओं का लाभ घरघर ढाणी ढाणी पहुंचे कोई भी योजनाओं से अछूता ना रहे    ,0
ये झोपड़ी का खरामी ह  भडवा पोर्न का ही पैदायिस ह इसको तो ये। ही नयी पता होगा की इसका बाप कोन होगा दोगला ये जब सुनता हु तब हिंदू धर्म को चोट देता ह पता नयी कितनो का खून ह इस हरामज़ादे में जिस दिन मिल गया गांड मारेगें इस भड़वे का,1
भाई वो गद्दार इसके घर सर्जीकल इस्ट्राइक कर गया ये चूतिया समझ नहीं सका     ,1
इसमें विवादित क्या है बे मादरचोद देखा नही कमलेश तिवारी को कैसे काट दिया अगर उनपे हथियार होता तो बचा लेते अपने आप को मैं तो खरीदूंगा देखता हूं कौन बहन का लंड रोकेगा मुझे,1
भोसड़ी के कालू तू क्यू नहीं चला जाता तेरे को किसने रोका तेरे बाप कोंग्रेसी तो गाये थे अंग्रेजो के पास अपनी फ़रयाद ले के झाटूमेन्टलआदमी     ,1
सहज सरल मृदुभाषी सक्रिय जननेता मप्र सरकार में पूर्व मंत्री वरिष्ट विधायक हमारे बड़े भैया श्री   जी को जन्मदिन की अशेष बधाईयां आप सदा यूँ ही मुस्कुराते रहें स्वस्थ रहें मस्त रहें व्यस्त रहें मैं ईश्वर से आपके सुदीर्घ और मंगलमय जीवन की कांमना करता हूँ जय श्री राम,0
मोदी जी बोले थे नोट बन्दी से आतंकवाद समाप्त होगा फ़िर बोले   समाप्त होने से आतंकवाद समाप्त होगा लेकिन वोह जाहिल थे आतंकवाद तो नेट बन्दी से समाप्त होता है क्यों,0
ये भड़वे वही है जो किसी शांतिदूत की पिटाई हो जाती है तो रंडी रोना शुरू कर देते कमलेश तिवारी की नृशंस हत्या पर मुँह से दही जमाये बैठे है।,1
आज अगर मोदी प्रधानमंत्री है तो अमित शाह के दम पर है पूरे भारत का शहनशाह है अमित शाह,0
केजरीवाल को रगड़ रगड़ के मारेगा कीर्ति आजाद दरभंगिया तुम भी संतोष गुप्ता दरभंगिया है,0
अनुच्छेद   खत्म होने के बाद आज अस्तिस्व में आए केंद्र शासित प्रदेश जम्मू कश्मीर और लद्दाख में विकास का मार्ग प्रशस्त होने के साथ ही अनुसूचित जाति व आदिवासी समुदाय के साथ हो रहे अन्याय का अंत हुआ है। भाजपा सरकार के प्रयासों से देश में एकता अखंडता का सूर्य उग रहा है।,0
